Countries and areas,female_married_by_15,female_married_by_18,male_married_by_18
Afghanistan,10,29,7
Albania,1,12,1
Algeria,0,4,-
Andorra,-,-,-
Angola,8,30,6
Anguilla,-,-,-
Antigua and Barbuda,-,-,-
Argentina,2,16,-
Armenia,0,5,0
Australia,-,-,-
Austria,-,-,-
Azerbaijan,0,15,0.4
Bahamas,-,-,-
Bahrain,-,-,-
Bangladesh,17,51,4
Barbados,8,29,-
Belarus,0,5,2
Belgium,0,0,-
Belize,6,34,22
Benin,6,28,5
Bhutan,6,26,-
Bolivia (Plurinational State of),3,20,5
Bosnia and Herzegovina,0,4,0
Botswana,-,-,-
Brazil,6,26,-
British Virgin Islands,-,-,-
Brunei Darussalam,-,-,-
Bulgaria,-,-,-
Burkina Faso,9,51,2
Burundi,3,19,1
Cabo Verde,2,8,2
Cambodia,2,18,3
Cameroon,11,30,3
Canada,-,-,-
Central African Republic,26,61,17
Chad,24,61,8
Chile,-,-,-
China,0,3,1
Colombia,5,23,7
Comoros,5,21,7
Congo,7,27,6
Cook Islands,-,-,-
Costa Rica,2,17,-
Côte d'Ivoire,7,26,2
Croatia,-,-,-
Cuba,5,29,6
Cyprus,-,-,-
Czechia,-,-,-
Democratic People's Republic of Korea,0,0,0
Democratic Republic of the Congo,8,29,6
Denmark,-,1,-
Djibouti,1,7,-
Dominica,-,-,-
Dominican Republic,9,32,8
Ecuador,4,22,-
Egypt,2,16,0.2
El Salvador,4,20,-
Equatorial Guinea,9,30,4
Eritrea,13,41,2
Estonia,-,-,-
Eswatini,0,2,0
Ethiopia,14,40,5
Fiji,0,4,2
Finland,-,0,-
France,-,-,-
Gabon,3,13,5
Gambia,6,23,0
Georgia,0,9,1
Germany,-,-,-
Ghana,3,16,2
Greece,-,-,-
Grenada,-,-,-
Guatemala,6,30,10
Guinea,17,47,2
Guinea-Bissau,8,26,2
Guyana,6,32,12
Haiti,2,15,2
Holy See,-,-,-
Honduras,9,34,10
Hungary,-,-,-
Iceland,-,-,-
India,5,23,3
Indonesia,2,16,1
Iran (Islamic Republic of),3,17,-
Iraq,7,28,-
Ireland,-,-,-
Israel,0,0.8,-
Italy,-,-,-
Jamaica,6,27,-
Japan,-,-,-
Jordan,1,10,0
Kazakhstan,0,7,0.3
Kenya,2,13,2
Kiribati,2,18,9
Kosovo under UNSC res. 1244,1,4,2
Kuwait,-,-,-
Kyrgyzstan,0,9,0.4
Lao People's Democratic Republic,6,31,10
Latvia,-,-,-
Lebanon,1,6,-
Lesotho,1,13,3
Liberia,6,25,8
Libya,-,-,-
Liechtenstein,-,-,-
Lithuania,0,0,-
Luxembourg,-,-,-
Madagascar,13,39,11
Malawi,8,38,7
Malaysia,-,-,-
Maldives,0,2,2
Mali,16,54,2
Malta,-,-,-
Marshall Islands,6,26,12
Mauritania,16,37,1
Mauritius,-,-,-
Mexico,4,18,-
Micronesia (Federated States of),-,-,-
Monaco,-,-,-
Mongolia,1,8,3
Montenegro,2,6,3
Montserrat,-,-,-
Morocco,1,14,-
Mozambique,13,48,13
Myanmar,2,16,5
Namibia,2,7,1
Nauru,1,18,0
Nepal,6,35,7
Netherlands (Kingdom of the),-,-,-
New Zealand,-,-,-
Nicaragua,10,35,19
Niger,28,76,6
Nigeria,12,30,2
Niue,-,-,-
North Macedonia,0,8,-
Norway,0,0,-
Oman,1,4,-
Pakistan,4,18,5
Palau,-,-,-
Panama,7,26,-
Papua New Guinea,8,27,4
Paraguay,4,22,-
Peru,3,19,-
Philippines,2,9,3
Poland,-,-,-
Portugal,-,-,-
Qatar,0,2,0
Republic of Korea,-,-,-
Republic of Moldova,0,12,1
Romania,0.5,6.9,-
Russian Federation,0,6,-
Rwanda,0,6,0
Saint Kitts and Nevis,-,-,-
Saint Lucia,4,24,-
Saint Vincent and the Grenadines,-,-,-
Samoa,1,7,2
San Marino,-,-,-
Sao Tome and Principe,5,28,3
Saudi Arabia,0.4,3.4,-
Senegal,9,30,1
Serbia,1,6,1
Seychelles,-,-,-
Sierra Leone,9,30,4
Singapore,0,0,-
Slovakia,-,-,-
Slovenia,-,-,-
Solomon Islands,6,21,4
Somalia,8,45,-
South Africa,1,4,1
South Sudan,9,52,-
Spain,-,-,-
Sri Lanka,1,10,-
State of Palestine,1,13,-
Sudan,12,34,-
Suriname,9,36,20
Sweden,-,-,-
Switzerland,-,-,-
Syrian Arab Republic,3,13,-
Tajikistan,0,9,-
Thailand,6,17,6
Timor-Leste,3,15,1
Togo,6,25,3
Tokelau,-,-,-
Tonga,0,10,3
Trinidad and Tobago,1,4,-
Tunisia,0,2,0
Türkiye,2,15,-
Turkmenistan,0,6,-
Turks and Caicos Islands,0,23,5
Tuvalu,0,2,2
Uganda,7,34,6
Ukraine,0,9,4
United Arab Emirates,-,-,-
United Kingdom,-,0,-
United Republic of Tanzania,5,29,4
United States,-,-,-
Uruguay,1,25,-
Uzbekistan,0,3,1
Vanuatu,5,21,8
Venezuela (Bolivarian Republic of),-,-,-
Viet Nam,1,15,2
Yemen,7,30,-
Zambia,5,29,3
Zimbabwe,5,34,2