ISO,country,year,severe_food_poverty_national,severe_food_poverty_male,severe_food_poverty_female,moderate_food_poverty_national,moderate_food_poverty_male,moderate_food_poverty_female
AFG,Afghanistan,2022-23,48.7,47.3,50.2,36.5,37.2,35.7
AGO,Angola,2015-16,29.9,29.8,30.0,41.1,40.9,41.2
ALB,Albania,2017-18,18.2,19.7,16.6,29.3,25.5,33.1
ARM,Armenia,2015-16,14.4,10.8,17.8,49.3,52.8,46.0
AZE,Azerbaijan,2023,8.3,7.6,9.0,34.3,34.8,33.7
BDI,Burundi,2016-17,17.9,18.0,17.9,63.6,62.9,64.2
BEN,Benin,2021,36.1,37.3,34.8,41.9,40.6,43.4
BFA,Burkina Faso,2021,31.7,31.8,31.7,49.2,49.8,48.5
BGD,Bangladesh,2022,21.3,21.4,21.1,41.2,40.8,41.5
BLR,Belarus,2019,1.2,1.3,1.0,29.2,30.4,28.1
BLZ,Belize,2015-16,9.9,9.4,10.3,32.3,33.0,31.5
BOL,Bolivia (Plurinational State of),2016,6.7,8.5,4.8,22.9,20.7,24.9
BRA,Brazil,2019,8.4,8.7,8.0,28.3,30.5,25.9
BTN,Bhutan,2015,47.3,49.1,45.4,37.2,40.7,33.9
CAF,Central African Republic,2010-11,19.0,19.3,18.7,54.4,54.9,53.8
CHN,China,2016-17,10.2,10.7,9.6,29.2,29.4,29.0
CIV,Cote d'Ivoire,2021,31.0,31.7,30.3,40.6,39.4,41.8
CMR,Cameroon,2018-19,27.7,26.9,28.6,52.5,53.2,51.8
COD,Democratic Republic of the Congo,2017-18,33.1,31.0,35.3,51.6,53.4,49.9
COG,Congo,2014-15,34.7,29.4,40.3,51.5,55.4,47.5
COL,Colombia,2015-16,7.2,5.3,9.2,24.1,26.5,21.7
COM,Comoros,2022,34.8,32.3,37.7,49.0,51.5,46.2
CRI,Costa Rica,2018,3.0,4.3,1.8,21.3,19.8,22.8
CUB,Cuba,2019,9.4,9.4,9.5,32.6,33.1,32.2
DOM,Dominican Republic,2019,7.8,6.8,8.8,26.4,25.3,27.6
DZA,Algeria,2018-19,16.8,15.8,17.8,43.8,44.1,43.5
ECU,Ecuador,2022-23,4.6,4.9,4.2,21.4,20.8,22.0
EGY,Egypt,2021,22.3,21.9,22.6,36.2,38.2,34.2
ETH,Ethiopia,2019,46.0,46.7,45.2,40.5,39.3,41.8
FJI,Fiji,2021,7.8,6.7,9.0,33.0,32.5,33.6
GAB,Gabon,2019-21,27.2,27.6,26.9,46.4,46.2,46.7
GEO,Georgia,2018,7.6,8.8,6.4,39.8,41.5,38.2
GHA,Ghana,2022-23,21.3,22.4,20.3,37.2,37.2,37.2
GIN,Guinea,2018,54.3,52.4,56.3,31.9,33.8,29.8
GMB,Gambia,2019-20,33.4,34.0,32.7,43.8,42.7,45.0
GNB,Guinea-Bissau,2018-19,52.8,56.4,49.1,39.1,35.1,43.2
GTM,Guatemala,2014-15,9.4,9.3,9.4,31.3,30.8,31.9
GUY,Guyana,2019,19.5,18.3,20.7,40.2,43.0,37.4
HND,Honduras,2019,9.9,9.4,10.5,32.7,32.6,32.8
HTI,Haiti,2016-17,31.6,35.8,27.4,49.2,46.0,52.5
IDN,Indonesia,2017,12.2,12.8,11.5,33.9,34.6,33.2
IND,India,2019-21,40.3,39.7,40.8,36.2,36.6,35.7
IRQ,Iraq,2018,14.3,14.5,14.2,41.1,40.1,42.1
ISO3Code,CountryName,DataSourceYears,,,,,,
JAM,Jamaica,2022,9.2,7.2,11.6,39.4,41.2,37.4
JOR,Jordan,2023,19.7,19.7,19.6,37.9,36.2,40.1
KAZ,Kazakhstan,2015,11.5,10.7,12.3,39.5,39.5,39.5
KEN,Kenya,2022,16.2,17.5,14.9,46.9,45.6,48.1
KGZ,Kyrgyzstan,2023,8.9,8.7,9.2,25.3,25.7,24.9
KHM,Cambodia,2021-22,13.7,13.4,13.9,37.7,37.7,37.7
KIR,Kiribati,2018-19,34.5,34.8,34.1,56.2,54.9,57.8
LAO,Lao People's Democratic Republic,2017,21.3,20.3,22.5,43.0,43.0,43.0
LBN,Lebanon,2023,30.2,32.5,27.8,44.0,36.0,52.3
LBR,Liberia,2019-20,42.5,43.0,42.0,48.9,48.9,48.8
LKA,Sri Lanka,2016,4.8,4.0,5.6,16.8,16.9,16.6
LSO,Lesotho,2023-24,31.3,32.8,29.5,53.7,53.6,53.8
MDA,Republic of Moldova,2005,6.2,5.5,6.9,24.1,22.3,26.1
MDG,Madagascar,2021,24.4,24.0,24.9,49.6,49.7,49.5
MDV,Maldives,2016-17,5.6,5.6,5.7,23.0,22.3,23.7
MEX,Mexico,2015,8.7,9.1,8.4,31.8,36.5,27.5
MHL,Marshall Islands,2017,29.4,31.2,27.4,36.4,34.1,39.2
MKD,North Macedonia,2018-19,10.9,13.4,8.2,34.9,33.5,36.4
MLI,Mali,2021,30.3,30.0,30.7,44.0,45.4,42.5
MMR,Myanmar,2015-16,34.5,33.8,35.3,44.2,42.9,45.6
MNE,Montenegro,2018-19,7.9,7.2,8.8,26.1,25.8,26.4
MNG,Mongolia,2018,9.7,10.0,9.4,51.1,51.3,50.8
MOZ,Mozambique,2022-23,30.9,30.9,31.0,54.7,54.7,54.6
MRT,Mauritania,2019-21,38.2,38.6,37.9,41.8,41.2,42.4
MWI,Malawi,2019-20,25.5,24.8,26.3,57.2,57.6,56.7
NAM,Namibia,2013,40.5,40.0,40.9,34.6,37.7,31.8
NER,Niger,2022,32.4,31.6,33.3,54.4,56.0,52.8
NGA,Nigeria,2021,31.6,32.6,30.4,37.3,36.2,38.5
NPL,Nepal,2022,7.9,7.9,7.9,43.8,44.6,43.0
NRU,Nauru,2023,12.2,13.4,10.4,38.3,35.8,41.7
PAK,Pakistan,2017-18,38.4,39.6,37.2,46.6,46.4,46.8
PER,Peru,2023,2.8,3.0,2.5,13.2,12.8,13.6
PHL,Philippines,2022,18.1,19.4,16.8,34.7,34.5,34.8
PNG,Papua New Guinea,2016-18,26.0,25.0,27.0,41.8,42.3,41.4
PRY,Paraguay,2016,5.6,5.2,6.0,42.3,42.8,41.9
PSE,State of Palestine,2019-20,12.9,13.0,12.7,42.4,41.9,43.0
RWA,Rwanda,2019-20,12.4,12.3,12.5,53.2,53.1,53.3
SDN,Sudan,2014,33.8,33.6,34.0,42.2,42.6,41.9
SEN,Senegal,2023,31.5,32.3,30.7,41.9,41.7,42.2
SLE,Sierra Leone,2021,46.5,47.1,45.9,29.2,31.1,27.4
SLV,El Salvador,2014,4.8,4.8,4.8,22.4,22.0,22.7
SOM,Somalia,2018-19,63.1,62.5,63.7,23.9,24.5,23.4
SRB,Serbia,2019,1.6,1.4,1.9,12.5,10.8,14.8
STP,Sao Tome and Principe,2019,22.3,18.7,26.2,45.4,49.2,41.3
SUR,Suriname,2018,23.4,24.5,22.3,48.4,50.1,46.6
SWZ,Eswatini,2021-22,18.8,19.2,18.2,51.6,54.9,47.9
SYR,Syrian Arab Republic,2019,30.4,,,38.4,,
TCA,Turks and Caicos Islands,2019-20,21.5,1.1,33.9,22.4,34.7,14.8
TCD,Chad,2022,16.7,15.6,17.7,34.5,35.2,33.9
TGO,Togo,2017,30.5,30.6,30.4,50.9,50.9,50.9
THA,Thailand,2022,9.8,9.3,10.2,18.1,19.5,16.8
TJK,Tajikistan,2017,34.0,35.3,32.5,43.5,42.6,44.5
TKM,Turkmenistan,2019,4.0,3.8,4.2,26.6,26.7,26.5
TLS,Timor-Leste,2020,30.2,29.6,30.8,30.0,30.4,29.5
TON,Tonga,2019,12.8,10.1,15.1,33.8,35.0,32.6
TTO,Trinidad and Tobago,2022,14.7,18.1,11.3,39.9,39.6,40.1
TUN,Tunisia,2018,8.4,8.0,8.9,28.4,27.8,29.2
TUV,Tuvalu,2019-20,14.0,13.8,14.2,56.7,56.6,56.8
TZA,United Republic of Tanzania,2022,21.8,20.8,22.8,59.4,60.9,57.9
UGA,Uganda,2019-20,24.3,,,62.1,,
URY,Uruguay,2018,5.8,6.2,5.3,24.4,22.3,26.8
UZB,Uzbekistan,2021,11.1,12.3,9.7,32.8,30.4,35.5
VNM,Viet Nam,2020-21,8.5,8.0,9.1,35.8,33.2,38.8
VUT,Vanuatu,2023,25.5,23.9,27.4,49.3,50.4,48.0
WSM,Samoa,2019-20,22.6,18.8,26.7,57.3,58.6,55.9
YEM,Yemen,2021-22,27.4,26.3,28.6,49.6,50.6,48.6
ZAF,South Africa,2016,22.8,24.4,21.0,37.3,37.3,37.3
ZMB,Zambia,2018-19,23.6,22.6,24.6,53.2,53.9,52.5
ZWE,Zimbabwe,2019,25.1,24.2,26.0,58.2,60.6,55.8
