ISO,country,wat_bas_nat,san_bas_nat,hyg_bas_nat,unicef_reporting_region
AFG,Afghanistan,65.66,38.33,7.73,South Asia
ALB,Albania,81.91,87.98,87.3,Europe and Central Asia
DZA,Algeria,91.12,99.5,95.47,Middle East and North Africa
AND,Andorra,99.5,99.5,99.5,Europe and Central Asia
AGO,Angola,,,,Sub-Saharan Africa
AIA,Anguilla,99.5,99.5,99.5,Latin America and Caribbean
ATG,Antigua and Barbuda,99.5,99.5,99.5,Latin America and Caribbean
ARG,Argentina,,83.11,77.57,Latin America and Caribbean
ARM,Armenia,96.59,88.85,97.52,Europe and Central Asia
AUS,Australia,99.5,99.5,99.5,East Asia and Pacific
AUT,Austria,99.5,99.5,99.5,Europe and Central Asia
AZE,Azerbaijan,99.5,99.5,99.5,Europe and Central Asia
BHS,Bahamas,,,,Latin America and Caribbean
BHR,Bahrain,99.5,99.5,99.5,Middle East and North Africa
BGD,Bangladesh,89.65,86.59,92.16,South Asia
BRB,Barbados,99.5,99.5,99.5,Latin America and Caribbean
BLR,Belarus,99.5,99.5,99.5,Europe and Central Asia
BEL,Belgium,99.5,99.5,99.5,Europe and Central Asia
BLZ,Belize,,,,Latin America and Caribbean
BEN,Benin,65.86,,48.69,Sub-Saharan Africa
BMU,Bermuda,,,99.5,North America
BTN,Bhutan,65.11,88.09,,South Asia
BOL,Bolivia (Plurinational State of),,,,Latin America and Caribbean
BIH,Bosnia and Herzegovina,99.5,78.9,59.9,Europe and Central Asia
BWA,Botswana,,,,Sub-Saharan Africa
BRA,Brazil,,86.12,,Latin America and Caribbean
VGB,British Virgin Islands,96.98,92.03,96.39,Latin America and Caribbean
BRN,Brunei Darussalam,,99.5,99.5,East Asia and Pacific
BFA,Burkina Faso,62.81,48.37,49.95,Sub-Saharan Africa
BDI,Burundi,45.82,44.75,17.31,Sub-Saharan Africa
CPV,Cabo Verde,,92.8,86.2,Sub-Saharan Africa
KHM,Cambodia,85.79,37.07,84.04,East Asia and Pacific
CMR,Cameroon,23.72,56.15,77.86,Sub-Saharan Africa
CYM,Cayman Islands,99.5,99.5,99.5,Latin America and Caribbean
CAF,Central African Republic,,,,Sub-Saharan Africa
TCD,Chad,30.38,19.38,9.82,Sub-Saharan Africa
CHL,Chile,,,,Latin America and Caribbean
CHN,China,,,,East Asia and Pacific
HKG,"China, Hong Kong SAR",99.5,99.5,99.5,East Asia and Pacific
MAC,"China, Macao SAR",99.5,99.5,99.5,East Asia and Pacific
COL,Colombia,,84.58,16.93,Latin America and Caribbean
COM,Comoros,,,,Sub-Saharan Africa
COG,Congo,54.35,,,Sub-Saharan Africa
COK,Cook Islands,99.5,99.5,99.5,East Asia and Pacific
CRI,Costa Rica,84.17,85.07,82.97,Latin America and Caribbean
HRV,Croatia,96.36,99.5,98.73,Europe and Central Asia
CUB,Cuba,99.5,95.36,99.5,Latin America and Caribbean
CZE,Czech Republic,99.5,99.5,99.5,Europe and Central Asia
CIV,Côte d’Ivoire,52.16,,,Sub-Saharan Africa
COD,Democratic Republic of the Congo,,,,Sub-Saharan Africa
DNK,Denmark,99.5,99.5,99.5,Europe and Central Asia
DJI,Djibouti,,,94.95,Sub-Saharan Africa
DMA,Dominica,99.5,99.5,99.5,Latin America and Caribbean
DOM,Dominican Republic,,76.42,83.06,Latin America and Caribbean
ECU,Ecuador,77.15,73.27,50.67,Latin America and Caribbean
EGY,Egypt,,99.5,99.5,Middle East and North Africa
SLV,El Salvador,81.72,84.46,,Latin America and Caribbean
GNQ,Equatorial Guinea,,,,Sub-Saharan Africa
ERI,Eritrea,,33.03,4.84,Sub-Saharan Africa
EST,Estonia,99.5,99.5,99.5,Europe and Central Asia
SWZ,Eswatini,,,,Sub-Saharan Africa
ETH,Ethiopia,28.5,,30.97,Sub-Saharan Africa
FJI,Fiji,77.62,90.54,43.11,East Asia and Pacific
FIN,Finland,99.5,99.5,99.5,Europe and Central Asia
FRA,France,99.5,99.5,99.5,Europe and Central Asia
GAB,Gabon,65.78,,66.12,Sub-Saharan Africa
GMB,Gambia,,64.98,,Sub-Saharan Africa
GEO,Georgia,,,,Europe and Central Asia
DEU,Germany,99.5,99.5,99.5,Europe and Central Asia
GHA,Ghana,78.48,58.73,53.56,Sub-Saharan Africa
GIB,Gibraltar,99.5,99.5,99.5,Europe and Central Asia
GRD,Grenada,99.5,99.5,99.5,Latin America and Caribbean
GTM,Guatemala,,72.15,,Latin America and Caribbean
GIN,Guinea,,52.13,,Sub-Saharan Africa
GNB,Guinea-Bissau,63.17,36.88,74.69,Sub-Saharan Africa
GUY,Guyana,,,,Latin America and Caribbean
HTI,Haiti,,,,Latin America and Caribbean
HND,Honduras,78.07,89.49,,Latin America and Caribbean
HUN,Hungary,99.5,99.5,99.5,Europe and Central Asia
IND,India,94.91,84.34,52.89,South Asia
IDN,Indonesia,75.52,70.62,68.74,East Asia and Pacific
IRN,Iran (Islamic Republic of),,,,Middle East and North Africa
IRQ,Iraq,60.25,56.63,66.43,Middle East and North Africa
ISR,Israel,99.5,99.5,99.5,Middle East and North Africa
ITA,Italy,99.5,99.5,99.5,Europe and Central Asia
JAM,Jamaica,94.89,95.72,99.5,Latin America and Caribbean
JOR,Jordan,99.5,,,Middle East and North Africa
KEN,Kenya,,,,Sub-Saharan Africa
KIR,Kiribati,,66.16,86.79,East Asia and Pacific
KWT,Kuwait,99.5,99.5,99.5,Middle East and North Africa
KGZ,Kyrgyzstan,,,,Europe and Central Asia
LAO,Lao People's Democratic Republic,49.14,31.55,,East Asia and Pacific
LVA,Latvia,99.5,99.5,99.5,Europe and Central Asia
LBN,Lebanon,,,,Middle East and North Africa
LSO,Lesotho,,,,Sub-Saharan Africa
LBR,Liberia,55.04,,67.62,Sub-Saharan Africa
LBY,Libya,,,,Middle East and North Africa
LTU,Lithuania,99.5,99.5,99.5,Europe and Central Asia
LUX,Luxembourg,99.5,99.5,99.5,Europe and Central Asia
MDG,Madagascar,,39.17,,Sub-Saharan Africa
MWI,Malawi,92.47,74.33,44.21,Sub-Saharan Africa
MYS,Malaysia,95.35,99.5,99.5,East Asia and Pacific
MDV,Maldives,99.5,,,South Asia
MLI,Mali,,29.78,,Sub-Saharan Africa
MLT,Malta,99.5,99.5,99.5,Europe and Central Asia
MHL,Marshall Islands,66.83,78.36,70.15,East Asia and Pacific
MRT,Mauritania,,30.69,,Sub-Saharan Africa
MUS,Mauritius,99.5,99.5,99.5,Sub-Saharan Africa
MEX,Mexico,71.09,69.58,79.16,Latin America and Caribbean
FSM,Micronesia (Federated States of),85.55,79.44,81.63,East Asia and Pacific
MCO,Monaco,99.5,99.5,99.5,Europe and Central Asia
MNG,Mongolia,,,,East Asia and Pacific
MNE,Montenegro,81.95,11.39,,Europe and Central Asia
MSR,Montserrat,99.5,99.5,99.5,Latin America and Caribbean
MAR,Morocco,89.51,96.08,87.07,Middle East and North Africa
MOZ,Mozambique,,,,Sub-Saharan Africa
MMR,Myanmar,77.05,73.52,58.66,East Asia and Pacific
NAM,Namibia,,,,Sub-Saharan Africa
NRU,Nauru,99.5,99.5,90.02,East Asia and Pacific
NPL,Nepal,55.44,38.97,41.61,South Asia
NLD,Netherlands (Kingdom of the),99.5,99.5,99.5,Europe and Central Asia
NIC,Nicaragua,53.27,28.54,,Latin America and Caribbean
NER,Niger,,25.39,41.77,Sub-Saharan Africa
NGA,Nigeria,35.62,42.92,23.6,Sub-Saharan Africa
NIU,Niue,99.5,99.5,99.5,East Asia and Pacific
NOR,Norway,99.5,99.5,99.5,Europe and Central Asia
OMN,Oman,99.5,99.5,99.5,Middle East and North Africa
PAK,Pakistan,35.49,41.59,,South Asia
PLW,Palau,89.26,89.26,83.33,East Asia and Pacific
PAN,Panama,59.69,23.91,23.81,Latin America and Caribbean
PNG,Papua New Guinea,46.83,46.38,11.67,East Asia and Pacific
PRY,Paraguay,,94.1,,Latin America and Caribbean
PER,Peru,73.67,92.89,,Latin America and Caribbean
PHL,Philippines,46.27,84.79,73.04,East Asia and Pacific
POL,Poland,99.5,99.5,99.5,Europe and Central Asia
PRT,Portugal,99.5,99.5,99.5,Europe and Central Asia
QAT,Qatar,99.5,99.5,99.5,Middle East and North Africa
KOR,Republic of Korea,99.5,99.5,99.5,East Asia and Pacific
MDA,Republic of Moldova,93.8,90.22,99.5,Europe and Central Asia
ROU,Romania,93.88,90.82,90.82,Europe and Central Asia
RUS,Russian Federation,,,,Europe and Central Asia
RWA,Rwanda,54.05,69.6,,Sub-Saharan Africa
KNA,Saint Kitts and Nevis,99.5,99.5,99.5,Latin America and Caribbean
LCA,Saint Lucia,99.5,99.5,98.92,Latin America and Caribbean
VCT,Saint Vincent and the Grenadines,99.5,99.5,99.5,Latin America and Caribbean
WSM,Samoa,99.5,99.5,78.0,East Asia and Pacific
SMR,San Marino,99.5,99.5,99.5,Europe and Central Asia
STP,Sao Tome and Principe,,75.82,,Sub-Saharan Africa
SAU,Saudi Arabia,99.5,99.5,99.5,Middle East and North Africa
SEN,Senegal,72.79,77.97,21.91,Sub-Saharan Africa
SRB,Serbia,98.45,98.83,84.74,Europe and Central Asia
SYC,Seychelles,99.5,99.5,99.5,Sub-Saharan Africa
SLE,Sierra Leone,39.39,48.65,22.08,Sub-Saharan Africa
SGP,Singapore,99.5,99.5,99.5,East Asia and Pacific
SVK,Slovakia,99.5,99.5,99.5,Europe and Central Asia
SVN,Slovenia,99.5,99.5,99.5,Europe and Central Asia
SLB,Solomon Islands,30.97,18.78,,East Asia and Pacific
SOM,Somalia,52.85,,,Sub-Saharan Africa
ZAF,South Africa,,,,Sub-Saharan Africa
SSD,South Sudan,,36.65,18.11,Sub-Saharan Africa
ESP,Spain,99.5,99.5,99.5,Europe and Central Asia
LKA,Sri Lanka,87.04,89.91,87.1,South Asia
PSE,State of Palestine,99.5,97.15,,Middle East and North Africa
SDN,Sudan,43.47,,7.56,Sub-Saharan Africa
SWE,Sweden,99.5,,99.5,Europe and Central Asia
CHE,Switzerland,99.5,99.5,99.5,Europe and Central Asia
SYR,Syrian Arab Republic,84.66,86.84,,Middle East and North Africa
TJK,Tajikistan,,,,Europe and Central Asia
THA,Thailand,99.5,99.5,99.5,East Asia and Pacific
TLS,Timor-Leste,70.28,,65.72,East Asia and Pacific
TGO,Togo,65.38,16.82,17.0,Sub-Saharan Africa
TKL,Tokelau,99.5,99.5,99.5,East Asia and Pacific
TON,Tonga,95.03,95.52,83.59,East Asia and Pacific
TUN,Tunisia,,,,Middle East and North Africa
TKM,Turkmenistan,99.5,99.5,99.5,Europe and Central Asia
TCA,Turks and Caicos Islands,98.71,98.71,98.71,Latin America and Caribbean
TUV,Tuvalu,76.55,85.76,96.05,East Asia and Pacific
TUR,Türkiye,99.5,99.5,99.5,Europe and Central Asia
UGA,Uganda,54.77,74.75,38.55,Sub-Saharan Africa
UKR,Ukraine,91.18,,81.72,Europe and Central Asia
ARE,United Arab Emirates,99.5,99.5,99.5,Middle East and North Africa
TZA,United Republic of Tanzania,,44.4,15.03,Sub-Saharan Africa
USA,United States of America,99.5,99.5,99.5,North America
URY,Uruguay,67.49,97.0,99.5,Latin America and Caribbean
UZB,Uzbekistan,70.01,79.74,91.6,Europe and Central Asia
VUT,Vanuatu,,,,East Asia and Pacific
VEN,Venezuela (Bolivarian Republic of),,,,Latin America and Caribbean
VNM,Viet Nam,67.79,93.35,71.93,East Asia and Pacific
YEM,Yemen,,,,Middle East and North Africa
ZMB,Zambia,79.07,,96.85,Sub-Saharan Africa
ZWE,Zimbabwe,69.86,93.92,76.64,Sub-Saharan Africa
